ENSEMBL,AZD1775,Olap.AZD1775,Olaparib,ENTREZID,SYMBOL,GENENAME
ENSG00000100413,-1,0,-1,171568,POLR3H,RNA polymerase III subunit H
ENSG00000100401,-1,0,-1,5905,RANGAP1,Ran GTPase activating protein 1
ENSG00000100092,-1,0,-1,23616,SH3BP1,SH3 domain binding protein 1
ENSG00000128283,-1,0,-1,11135,CDC42EP1,CDC42 effector protein 1
ENSG00000100029,-1,0,-1,23481,PES1,pescadillo ribosomal biogenesis factor 1
ENSG00000171817,1,0,1,163255,ZNF540,zinc finger protein 540
ENSG00000251247,1,0,1,25850,ZNF345,zinc finger protein 345
ENSG00000186020,1,0,1,57711,ZNF529,zinc finger protein 529
ENSG00000156413,-1,0,-1,2528,FUT6,fucosyltransferase 6
ENSG00000196074,1,0,1,10388,SYCP2,synaptonemal complex protein 2
ENSG00000124228,-1,0,-1,55661,DDX27,DEAD-box helicase 27
ENSG00000168234,1,0,1,125488,TTC39C,tetratricopeptide repeat domain 39C
ENSG00000072310,-1,0,-1,6720,SREBF1,sterol regulatory element binding transcription factor 1
ENSG00000177374,-1,0,-1,3090,HIC1,HIC ZBTB transcriptional repressor 1
ENSG00000167703,-1,0,-1,124935,SLC43A2,solute carrier family 43 member 2
ENSG00000102996,-1,0,-1,4324,MMP15,matrix metallopeptidase 15
ENSG00000259856,-1,0,-1,,,
ENSG00000166851,-1,0,-1,5347,PLK1,polo like kinase 1
ENSG00000167977,-1,0,-1,54442,KCTD5,potassium channel tetramerization domain containing 5
ENSG00000131653,-1,0,-1,84231,TRAF7,TNF receptor associated factor 7
ENSG00000183751,-1,0,-1,10607,TBL3,transducin beta like 3
ENSG00000007376,-1,0,-1,113000,RPUSD1,RNA pseudouridine synthase domain containing 1
ENSG00000161999,-1,0,-1,339123,JMJD8,jumonji domain containing 8
ENSG00000090565,-1,0,-1,9727,RAB11FIP3,RAB11 family interacting protein 3
ENSG00000129925,-1,0,-1,58986,TMEM8A,transmembrane protein 8A
ENSG00000182511,-1,0,-1,2242,FES,"FES proto-oncogene, tyrosine kinase"
ENSG00000242498,-1,0,-1,348110,ARPIN,actin related protein 2/3 complex inhibitor
ENSG00000156232,-1,0,-1,123720,WHAMM,"WASP homolog associated with actin, golgi membranes and microtubules"
ENSG00000140598,-1,0,-1,79631,EFL1,elongation factor like GTPase 1
ENSG00000137857,-1,0,-1,53905,DUOX1,dual oxidase 1
ENSG00000104142,-1,0,-1,57617,VPS18,VPS18 core subunit of CORVET and HOPS complexes
ENSG00000104140,-1,0,-1,171177,RHOV,ras homolog family member V
ENSG00000166145,-1,0,-1,6692,SPINT1,"serine peptidase inhibitor, Kunitz type 1"
ENSG00000185347,-1,0,-1,283643,TEDC1,tubulin epsilon and delta complex 1
ENSG00000179627,-1,0,-1,100128927,ZBTB42,zinc finger and BTB domain containing 42
ENSG00000157227,-1,0,-1,4323,MMP14,matrix metallopeptidase 14
ENSG00000259144,-1,0,-1,,,
ENSG00000230022,1,0,1,,,
ENSG00000214029,1,0,1,101060200,ZNF891,zinc finger protein 891
ENSG00000196387,1,0,1,7699,ZNF140,zinc finger protein 140
ENSG00000073060,-1,0,-1,949,SCARB1,scavenger receptor class B member 1
ENSG00000065361,-1,0,-1,2065,ERBB3,erb-b2 receptor tyrosine kinase 3
ENSG00000167767,-1,0,-1,144501,KRT80,keratin 80
ENSG00000111319,-1,0,-1,6337,SCNN1A,sodium channel epithelial 1 alpha subunit
ENSG00000173599,-1,0,-1,5091,PC,pyruvate carboxylase
ENSG00000146670,-1,0,-1,113130,CDCA5,cell division cycle associated 5
ENSG00000162174,-1,0,-1,80150,ASRGL1,asparaginase like 1
ENSG00000006118,-1,0,-1,54972,TMEM132A,transmembrane protein 132A
ENSG00000184281,-1,0,-1,10078,TSSC4,tumor suppressing subtransferable candidate 4
ENSG00000134452,-1,0,-1,84893,FBH1,F-box DNA helicase 1
ENSG00000204291,-1,0,-1,1306,COL15A1,collagen type XV alpha 1 chain
ENSG00000101986,-1,0,-1,215,ABCD1,ATP binding cassette subfamily D member 1
ENSG00000173275,1,0,1,203523,ZNF449,zinc finger protein 449
ENSG00000169188,-1,0,-1,27301,APEX2,apurinic/apyrimidinic endodeoxyribonuclease 2
ENSG00000239911,1,0,1,,,
ENSG00000235436,1,0,1,442523,DPY19L2P4,DPY19L2 pseudogene 4
ENSG00000186088,1,0,1,54103,GSAP,gamma-secretase activating protein
ENSG00000185274,-1,0,-1,64409,GALNT17,polypeptide N-acetylgalactosaminyltransferase 17
ENSG00000189212,1,0,1,,,
ENSG00000175048,-1,0,-1,79683,ZDHHC14,zinc finger DHHC-type containing 14
ENSG00000137411,-1,0,-1,57176,VARS2,"valyl-tRNA synthetase 2, mitochondrial"
ENSG00000183718,1,0,1,84851,TRIM52,tripartite motif containing 52
ENSG00000127022,1,0,1,821,CANX,calnexin
ENSG00000234284,1,0,1,345462,ZNF879,zinc finger protein 879
ENSG00000113240,1,0,1,57396,CLK4,CDC like kinase 4
ENSG00000246334,1,0,1,,,
ENSG00000113328,1,0,1,900,CCNG1,cyclin G1
