ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,ENTREZID,SYMBOL,GENENAME
ENSG00000170608,-1.80499499982377,-0.160554743487145,-5.88446956816595,2.53373773532786e-07,0.00515108881592153,5.67277760802117,down.reg,3171,FOXA3,forkhead box A3
ENSG00000175265,1.46236306770089,3.66631689405458,5.28589508604685,2.25958146966047e-06,0.0123507668963203,4.70680191350042,up.reg,23015,GOLGA8A,golgin A8 family member A
ENSG00000109046,0.754872008954844,5.1905328720784,5.26573149518938,2.43005743164197e-06,0.0123507668963203,4.65384914861935,up.reg,26118,WSB1,WD repeat and SOCS box containing 1
ENSG00000167766,0.811300956748023,4.37862744042933,5.16808225715863,3.45248753724363e-06,0.0123863841000917,4.32444960996871,up.reg,55769,ZNF83,zinc finger protein 83
ENSG00000102901,0.597874981703642,4.47249884159676,5.15213892247469,3.65559786525086e-06,0.0123863841000917,4.27311109383411,up.reg,80152,CENPT,centromere protein T
ENSG00000178338,0.68581659167339,3.00049885914984,4.95582773113716,7.35857021500308e-06,0.0168199562714297,3.60390993896285,up.reg,117608,ZNF354B,zinc finger protein 354B
ENSG00000227671,0.992385783585199,3.90490441420635,4.94005188548027,7.78133022303642e-06,0.0168199562714297,3.57135689749115,up.reg,,,
ENSG00000139636,0.584299970237635,2.90255233807194,4.93636394391487,7.88354827522377e-06,0.0168199562714297,3.542847707716,up.reg,55716,LMBR1L,limb development membrane protein 1 like
ENSG00000230551,0.986031202617744,3.32378804297105,4.9227145199809,8.2734659475798e-06,0.0168199562714297,3.49758617974562,up.reg,,,
ENSG00000205959,1.76263857619906,-3.20614184300359,5.45491755805138,1.22470896064841e-06,0.0123507668963203,3.37070435829314,up.reg,,,
ENSG00000184110,-0.496299757665106,7.20339597479393,-4.78368675702199,1.34945872108656e-05,0.023243170616385,3.04292944602813,down.reg,8663,EIF3C,eukaryotic translation initiation factor 3 subunit C
ENSG00000157617,-0.828399766213584,4.62551038770994,-4.70005532655132,1.80709596340256e-05,0.023243170616385,2.7928187640011,down.reg,25966,C2CD2,C2 calcium dependent domain containing 2
ENSG00000173275,0.741363926715049,2.60447841121891,4.71065950393506,1.74158045578115e-05,0.023243170616385,2.78994540493409,up.reg,203523,ZNF449,zinc finger protein 449
ENSG00000110455,0.823138431034983,3.48616270059303,4.66761672483679,2.0228426376609e-05,0.023243170616385,2.69002143733007,up.reg,84680,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ENSG00000013441,0.849163731160109,5.13983730372455,4.66467025884432,2.04364372158887e-05,0.023243170616385,2.66835596154637,up.reg,1195,CLK1,CDC like kinase 1
ENSG00000142409,-0.558040450775682,5.20234945301309,-4.61817942911022,2.40091777149082e-05,0.023243170616385,2.52194683363022,down.reg,126208,ZNF787,zinc finger protein 787
ENSG00000143140,1.64852676144201,-0.597384467329847,4.6388569728313,2.23504955731826e-05,0.023243170616385,2.51165236051292,up.reg,,,
ENSG00000188732,0.988017692294443,1.85754042905229,4.62525322036067,2.3428635349629e-05,0.023243170616385,2.40400387540766,up.reg,340277,FAM221A,family with sequence similarity 221 member A
ENSG00000179476,0.870458953634717,1.68331880259584,4.62922613469031,2.31086210384803e-05,0.023243170616385,2.31607241225534,up.reg,122525,C14orf28,chromosome 14 open reading frame 28
ENSG00000106133,1.18603396464622,-0.0646252764059412,4.67051768138069,2.00256520068136e-05,0.023243170616385,2.20648125215384,up.reg,260294,NSUN5P2,NSUN5 pseudogene 2
ENSG00000140297,1.7979273672849,0.580099657327695,4.63129304110379,2.29438274808145e-05,0.023243170616385,2.19115290097618,up.reg,9245,GCNT3,"glucosaminyl (N-acetyl) transferase 3, mucin type"
ENSG00000187650,0.556439064225161,3.3450961260604,4.50207705071844,3.58090385602668e-05,0.0305828930398777,2.15822285228422,up.reg,400673,VMAC,vimentin type intermediate filament associated coiled-coil protein
ENSG00000086619,0.806236262074117,3.57027266018902,4.49469282996374,3.67264235654517e-05,0.0305828930398777,2.14603030667382,up.reg,56605,ERO1B,endoplasmic reticulum oxidoreductase 1 beta
ENSG00000196123,0.656588442853532,3.35625761301976,4.48776377238063,3.76080829314777e-05,0.0305828930398777,2.12602958584174,up.reg,653319,KIAA0895L,KIAA0895 like
ENSG00000126254,-0.389288326876812,6.50657516804581,-4.46305451292183,4.0923324715399e-05,0.031998891979387,2.01219193526364,down.reg,79171,RBM42,RNA binding motif protein 42
ENSG00000105974,1.06814459166683,4.58283566819252,4.44677327290696,4.32616977236334e-05,0.0325744561007951,1.97953848226888,up.reg,857,CAV1,caveolin 1
ENSG00000147437,1.18064225181758,0.0807158695050158,4.5256891286028,3.30230876856434e-05,0.030516335120415,1.86736026354595,up.reg,2796,GNRH1,gonadotropin releasing hormone 1
ENSG00000102878,1.08657207394528,2.82249759364773,4.39914933661322,5.08740095398758e-05,0.0362641110037857,1.85128918549246,up.reg,3299,HSF4,heat shock transcription factor 4
ENSG00000161551,0.677403858638846,2.59686679861503,4.39423851614951,5.17294254357986e-05,0.0362641110037857,1.82522821715306,up.reg,84765,ZNF577,zinc finger protein 577
ENSG00000135164,0.501690799861112,5.18404942383932,4.35953622691376,5.81861202753528e-05,0.0394307941732641,1.69918548444259,up.reg,9988,DMTF1,cyclin D binding myb like transcription factor 1
ENSG00000185565,-1.76771807794563,0.898788906493842,-4.34576704949098,6.09596895661811e-05,0.0399777577058213,1.57899962814861,down.reg,4045,LSAMP,limbic system associated membrane protein
ENSG00000153291,1.56715725348898,2.00617348745599,4.30906180505406,6.89964722372899e-05,0.0435655463164425,1.54503594421835,up.reg,9481,SLC25A27,solute carrier family 25 member 27
ENSG00000188859,-1.21395717439003,1.04883166173607,-4.30174930307731,7.07163319450369e-05,0.0435655463164425,1.41521917485547,down.reg,149297,FAM78B,family with sequence similarity 78 member B
ENSG00000159259,-0.593248886832716,5.55288456514308,-4.25722606479639,8.21227454011464e-05,0.0475204003156043,1.3858388376218,down.reg,8208,CHAF1B,chromatin assembly factor 1 subunit B
ENSG00000164879,1.56607259845847,1.89614804478933,4.24290425017879,8.61577709009816e-05,0.0475204003156043,1.36782907447847,up.reg,761,CA3,carbonic anhydrase 3
ENSG00000007520,-0.476140756670476,5.19443831750899,-4.24792964387137,8.47204736864558e-05,0.0475204003156043,1.35183377749278,down.reg,115939,TSR3,TSR3 ribosome maturation factor
ENSG00000090273,-0.421300347672171,6.78589836322365,-4.24176898781146,8.64857261031658e-05,0.0475204003156043,1.31028466052578,down.reg,10726,NUDC,"nuclear distribution C, dynein complex regulator"
ENSG00000138764,0.625974792335239,5.26664154204212,4.2267427949166,9.09423134564563e-05,0.0486541376992041,1.28578760978195,up.reg,901,CCNG2,cyclin G2
