ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,ENTREZID,SYMBOL,GENENAME
ENSG00000184216,-2.92379843812703,8.58531147666681,-8.33137741420129,2.17708520682013e-08,0.000302073340398647,9.36862867340368,down.reg,3654,IRAK1,interleukin 1 receptor associated kinase 1
ENSG00000136720,-2.25238152221212,5.59803975114417,-7.67561629079131,8.8521281614512e-08,0.000302073340398647,8.00930943945933,down.reg,9394,HS6ST1,heparan sulfate 6-O-sulfotransferase 1
ENSG00000100242,-3.13260902302812,8.65514778645012,-7.57200806762991,1.11064577929415e-07,0.000302073340398647,7.83214389019945,down.reg,25777,SUN2,Sad1 and UNC84 domain containing 2
ENSG00000132670,-1.71814019651128,5.21350375464489,-7.58431452951304,1.08103573632981e-07,0.000302073340398647,7.81922496101318,down.reg,5786,PTPRA,protein tyrosine phosphatase receptor type A
ENSG00000143321,-1.78643679805901,8.34719893777904,-7.55179794103218,1.16109314574146e-07,0.000302073340398647,7.79165149282925,down.reg,3068,HDGF,heparin binding growth factor
ENSG00000161904,-1.8224577505688,5.47939995988228,-7.49635967156073,1.31191740443309e-07,0.000302073340398647,7.65844623431641,down.reg,221496,LEMD2,LEM domain containing 2
ENSG00000173327,-2.32256941208695,6.33575375835612,-7.46060284988815,1.41974428381067e-07,0.000302073340398647,7.59458244240912,down.reg,4296,MAP3K11,mitogen-activated protein kinase kinase kinase 11
ENSG00000159069,-2.08936855361173,5.9110315975713,-7.44535005595042,1.46847123731127e-07,0.000302073340398647,7.55357945518155,down.reg,54461,FBXW5,F-box and WD repeat domain containing 5
ENSG00000082641,-2.42207321128045,6.58130313796168,-7.42335449372241,1.54178202304934e-07,0.000302073340398647,7.51582568629852,down.reg,4779,NFE2L1,"nuclear factor, erythroid 2 like 1"
ENSG00000173020,-2.35521378868482,7.16886869583509,-7.38328837080941,1.6851325264581e-07,0.000302073340398647,7.43812595589936,down.reg,156,GRK2,G protein-coupled receptor kinase 2
ENSG00000143537,-1.58814543701232,7.74554728764453,-7.34301943988214,1.84303441365862e-07,0.000302073340398647,7.35647634738112,down.reg,8751,ADAM15,ADAM metallopeptidase domain 15
ENSG00000198925,-1.9353573331155,5.57738739514209,-7.2953634382793,2.04969243874823e-07,0.000307949208151598,7.23474284505079,down.reg,79065,ATG9A,autophagy related 9A
ENSG00000152700,1.81181933377523,5.35243815547156,7.22615576338674,2.39302924727121e-07,0.00032238347507871,7.10891944582556,up.reg,51128,SAR1B,secretion associated Ras related GTPase 1B
ENSG00000196576,-2.6099804069868,9.0259606324977,-7.20605999528736,2.50339378285093e-07,0.00032238347507871,7.06072303519053,down.reg,23654,PLXNB2,plexin B2
ENSG00000177990,2.23025387210453,3.68632419762656,7.15862765335746,2.78508144212042e-07,0.000324467736733431,6.95521710468775,up.reg,283417,DPY19L2,dpy-19 like 2
ENSG00000070413,-2.053132835501,7.53462837168692,-7.11693442885054,3.05948833793795e-07,0.000324467736733431,6.87348159134758,down.reg,9993,DGCR2,DiGeorge syndrome critical region gene 2
ENSG00000103126,-2.74613907591295,5.25119175687115,-7.12922996322201,2.97579658137582e-07,0.000324467736733431,6.84995839627128,down.reg,8312,AXIN1,axin 1
ENSG00000160613,-2.39356697422246,5.52979949345903,-7.08989850495003,3.25210916263961e-07,0.000325734867184608,6.77462554060145,down.reg,9159,PCSK7,proprotein convertase subtilisin/kexin type 7
ENSG00000129925,-2.28024286257492,5.81575311585646,-7.0564651922507,3.50762267586019e-07,0.000332836469595176,6.73483089067318,down.reg,58986,TMEM8A,transmembrane protein 8A
ENSG00000141385,-1.749496796546,6.16105678235395,-7.0054241410701,3.93804965345699e-07,0.00035499548601088,6.62834556529456,down.reg,10939,AFG3L2,AFG3 like matrix AAA peptidase subunit 2
ENSG00000137216,-1.62233650668423,5.6252445701043,-6.91525699452781,4.83547762414449e-07,0.000396267391298641,6.42973729174046,down.reg,55362,TMEM63B,transmembrane protein 63B
ENSG00000103249,-2.3849653990609,4.91925039090999,-6.9188309462622,4.79619463658605e-07,0.000396267391298641,6.39992520789005,down.reg,1186,CLCN7,chloride voltage-gated channel 7
ENSG00000196365,-2.15171398151602,6.48285694602472,-6.86060370325799,5.47899760446325e-07,0.000405297187631817,6.315786256298,down.reg,9361,LONP1,"lon peptidase 1, mitochondrial"
ENSG00000104774,-2.09031312716809,6.42843294565685,-6.84846873824429,5.63341235831866e-07,0.000405297187631817,6.28897817722497,down.reg,4125,MAN2B1,mannosidase alpha class 2B member 1
ENSG00000120798,2.02760516974183,3.34792376897561,6.83479034735632,5.8128206658537e-07,0.000405297187631817,6.25617572681236,up.reg,7181,NR2C1,nuclear receptor subfamily 2 group C member 1
ENSG00000151470,2.33100097347956,2.48650727329267,6.83239198630988,5.84487596562607e-07,0.000405297187631817,6.21898191653278,up.reg,132321,C4orf33,chromosome 4 open reading frame 33
ENSG00000227500,-1.5294215180694,5.51198464541145,-6.80958663614368,6.1588765229083e-07,0.00040906811567557,6.20200451912127,down.reg,113178,SCAMP4,secretory carrier membrane protein 4
ENSG00000135924,-1.71925076818408,6.18727617275219,-6.79284678570445,6.40031602150177e-07,0.00040906811567557,6.16732436239161,down.reg,3300,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2
ENSG00000131653,-1.80023324069141,6.67492465331508,-6.7660709878227,6.80683535984641e-07,0.00040906811567557,6.1107812424837,down.reg,84231,TRAF7,TNF receptor associated factor 7
ENSG00000160877,-3.1945515627595,5.13880148389114,-6.78016248882264,6.58970059627538e-07,0.00040906811567557,6.0699579247586,down.reg,112939,NACC1,nucleus accumbens associated 1
ENSG00000179837,-2.40767961528175,5.852123965373,-6.71391045078196,7.67636778489566e-07,0.000446442692883496,5.9866784929476,down.reg,,,
ENSG00000116001,1.68951705218481,5.27997706643837,6.67766389850941,8.34687680782164e-07,0.000470268256150676,5.91639621126789,up.reg,7072,TIA1,TIA1 cytotoxic granule associated RNA binding protein
ENSG00000101199,-2.01432411403414,5.41548920309492,-6.6564377167097,8.76706793973524e-07,0.000473765404172447,5.85980077135268,down.reg,55738,ARFGAP1,ADP ribosylation factor GTPase activating protein 1
ENSG00000198952,-2.34588867387497,6.74946261480599,-6.64826802927644,8.93450759435531e-07,0.000473765404172447,5.8501067479083,down.reg,23381,SMG5,SMG5 nonsense mediated mRNA decay factor
ENSG00000107140,-1.84295852497381,5.4783809830237,-6.63062128019624,9.30743860107053e-07,0.000479439458682002,5.8056966940561,down.reg,7016,TESK1,testis associated actin remodelling kinase 1
ENSG00000175137,-1.50322230773534,7.12262103359673,-6.5616424394872,1.09247029073085e-06,0.000514187750282952,5.65874512623918,down.reg,80851,SH3BP5L,SH3 binding domain protein 5 like
ENSG00000169957,-2.41869259696629,5.34197548785262,-6.55672174257284,1.10505233794203e-06,0.000514187750282952,5.63596152707607,down.reg,79724,ZNF768,zinc finger protein 768
ENSG00000022840,-1.6524371572254,5.76814734320475,-6.5425454782121,1.14213534375078e-06,0.000514187750282952,5.61476300750753,down.reg,9921,RNF10,ring finger protein 10
ENSG00000189212,1.65992899937959,3.86692790809694,6.54109142499331,1.14601018719527e-06,0.000514187750282952,5.6109992867602,up.reg,,,
ENSG00000100403,-3.89161570207971,7.08990428648293,-6.53400179384897,1.1650964637186e-06,0.000514187750282952,5.59214638832591,down.reg,23264,ZC3H7B,zinc finger CCCH-type containing 7B
ENSG00000111206,-2.54303235551304,5.66335656873512,-6.53244844334773,1.1693215242998e-06,0.000514187750282952,5.58618566668991,down.reg,2305,FOXM1,forkhead box M1
ENSG00000163930,-1.7929537725385,5.74823840201053,-6.50452263369539,1.24800919210833e-06,0.000535722802964789,5.52982856920377,down.reg,8314,BAP1,BRCA1 associated protein 1
ENSG00000064932,-2.77920071743357,6.06933669114556,-6.45534059014938,1.40000559484867e-06,0.000580879779601954,5.41831523362005,down.reg,22904,SBNO2,strawberry notch homolog 2
ENSG00000188986,-1.63396096450748,5.44969164546901,-6.44207050077715,1.44417031003003e-06,0.000580879779601954,5.39012449730162,down.reg,25920,NELFB,negative elongation factor complex member B
ENSG00000090565,-1.99792342528499,5.49350569508511,-6.44039010652373,1.44986355771745e-06,0.000580879779601954,5.38768312413561,down.reg,9727,RAB11FIP3,RAB11 family interacting protein 3
ENSG00000006118,-1.77143763129921,7.10313584442248,-6.42296020554008,1.51028702406328e-06,0.000591934016452976,5.34870296874356,down.reg,54972,TMEM132A,transmembrane protein 132A
ENSG00000115694,-1.42490005437329,5.66598314381053,-6.41115000121207,1.55268573511801e-06,0.000595603640817926,5.3225303513976,down.reg,10494,STK25,serine/threonine kinase 25
ENSG00000160785,-1.68468854550171,4.90430904894765,-6.39043969723561,1.62999495540023e-06,0.000604661870437706,5.27145105721889,down.reg,9673,SLC25A44,solute carrier family 25 member 44
ENSG00000143390,-1.46014129893409,5.7243151452944,-6.38695708336402,1.64337631878904e-06,0.000604661870437706,5.26831223505905,down.reg,5993,RFX5,regulatory factor X5
ENSG00000161091,-2.06347313545365,5.13622424614333,-6.36765213319421,1.71961420176033e-06,0.000607900479285039,5.21717729465846,down.reg,126321,MFSD12,major facilitator superfamily domain containing 12
ENSG00000219085,1.42307127621662,3.66366514155572,6.35670922736502,1.76442386458655e-06,0.000611746112589057,5.19969682962682,up.reg,,,
ENSG00000076864,-2.29209849591881,4.68693670490454,-6.37101846549812,1.70606461892014e-06,0.000607900479285039,5.1987073337922,down.reg,5909,RAP1GAP,RAP1 GTPase activating protein
ENSG00000145736,2.01092679921988,2.94108398228939,6.32629014550383,1.89535514606948e-06,0.000616106038062626,5.1302734027841,up.reg,2966,GTF2H2,general transcription factor IIH subunit 2
ENSG00000145736,2.01092679921988,2.94108398228939,6.32629014550383,1.89535514606948e-06,0.000616106038062626,5.1302734027841,up.reg,728340,GTF2H2C,GTF2H2 family member C
ENSG00000197223,2.08711056974492,2.27738900131961,6.33408910059825,1.86086876483132e-06,0.000616106038062626,5.12546594627215,up.reg,10438,C1D,C1D nuclear receptor corepressor
ENSG00000127191,-2.07631611772993,3.93622078390718,-6.33864061338295,1.84103906825437e-06,0.000616106038062626,5.10475273260638,down.reg,7186,TRAF2,TNF receptor associated factor 2
ENSG00000196821,-2.24873239598706,6.77100895299617,-6.30804678434533,1.97859744978833e-06,0.000616106038062626,5.09119275740112,down.reg,64771,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains
ENSG00000133243,-1.7483484616609,6.18595926234678,-6.3054445876009,1.99077150940433e-06,0.000616106038062626,5.08523650026186,down.reg,55643,BTBD2,BTB domain containing 2
ENSG00000123143,-1.92330678148004,6.79119489152804,-6.29726800878094,2.02952462519761e-06,0.000616106038062626,5.06630241567286,down.reg,5585,PKN1,protein kinase N1
ENSG00000105063,-2.79846408316813,5.67030795308034,-6.29293271823423,2.05038339806742e-06,0.000616106038062626,5.04225462592146,down.reg,22870,PPP6R1,protein phosphatase 6 regulatory subunit 1
ENSG00000130881,-1.83976307343209,5.83277203951886,-6.28110740797192,2.10839924902766e-06,0.000623152951815078,5.03069381626117,down.reg,4037,LRP3,LDL receptor related protein 3
ENSG00000066185,2.16058862964045,2.10320261800727,6.29334991607862,2.04836661500972e-06,0.000616106038062626,5.02938347471103,up.reg,84217,ZMYND12,zinc finger MYND-type containing 12
ENSG00000180901,-2.42581385154083,4.85323479791,-6.27070412973438,2.16082315582506e-06,0.000628346462522097,4.97750378789915,down.reg,23510,KCTD2,potassium channel tetramerization domain containing 2
ENSG00000149823,-1.73055533388881,6.55794611284347,-6.24927892979713,2.27302021532175e-06,0.000630781052057092,4.9580497784407,down.reg,738,VPS51,VPS51 subunit of GARP complex
ENSG00000107404,-2.30392474192246,6.06837211922419,-6.23434383381169,2.3547320358938e-06,0.00063831505789644,4.92542184467475,down.reg,1855,DVL1,dishevelled segment polarity protein 1
ENSG00000197258,-2.18103174756339,4.40991079577702,-6.24906750005082,2.27415654688063e-06,0.000630781052057092,4.90721867414179,down.reg,,,
ENSG00000235912,2.49207982205026,2.6122650481454,6.22582094855663,2.40269900850162e-06,0.00063831505789644,4.90080776743639,up.reg,,,
ENSG00000186635,-3.23873196564338,5.49231441932341,-6.21167902420091,2.48450078042851e-06,0.000649174848845587,4.83803131644472,down.reg,116985,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
ENSG00000174516,-2.23086788358301,4.16226665618452,-6.2249715701269,2.40753363674957e-06,0.00063831505789644,4.83660327433461,down.reg,246330,PELI3,pellino E3 ubiquitin protein ligase family member 3
ENSG00000184363,-2.29910499971795,4.85127058144009,-6.19402170330077,2.59063980778959e-06,0.00066372369619963,4.81656698645924,down.reg,11187,PKP3,plakophilin 3
ENSG00000197136,-2.35258523750631,6.24030127928957,-6.18524027450356,2.64513649237629e-06,0.00066372369619963,4.81435494621438,down.reg,399909,PCNX3,pecanex 3
ENSG00000129353,-1.2660424738247,8.43693349914749,-6.18059508465336,2.67443557052205e-06,0.00066372369619963,4.80228843696054,down.reg,57153,SLC44A2,solute carrier family 44 member 2
ENSG00000100359,-1.41325072422868,6.77814334163116,-6.17855014584203,2.68743856134966e-06,0.00066372369619963,4.79620156864968,down.reg,27352,SGSM3,small G protein signaling modulator 3
ENSG00000136026,-1.5055258299504,6.41432929288042,-6.16271067211447,2.79036507895883e-06,0.000666371112079856,4.76088520590102,down.reg,10970,CKAP4,cytoskeleton associated protein 4
ENSG00000100364,-1.78196292184993,6.12029799968573,-6.15990055382641,2.80904124011698e-06,0.000666371112079856,4.75612734466899,down.reg,23313,KIAA0930,KIAA0930
ENSG00000197324,-1.85679765192655,7.46804436851883,-6.16033759516076,2.80612829500097e-06,0.000666371112079856,4.75502954541665,down.reg,26020,LRP10,LDL receptor related protein 10
ENSG00000129250,-2.91290101817451,6.01365993970593,-6.14735662154929,2.89397611176577e-06,0.000670193243841354,4.72840782560046,down.reg,10749,KIF1C,kinesin family member 1C
ENSG00000185340,-2.01024888928649,6.76328315555193,-6.14388815190123,2.91792010357681e-06,0.000670193243841354,4.71897643061394,down.reg,10634,GAS2L1,growth arrest specific 2 like 1
ENSG00000011451,-2.4448067837426,6.4122604344966,-6.13839955305843,2.95622324523825e-06,0.000670193243841354,4.70790697401202,down.reg,58525,WIZ,WIZ zinc finger
ENSG00000229037,2.90170123772398,0.454847324109282,6.25644666112085,2.23483800967688e-06,0.000630781052057092,4.68397361933978,up.reg,,,
ENSG00000100239,-1.94254407586541,6.63988105605757,-6.12721662795775,3.0358596541602e-06,0.000670193243841354,4.68077641202793,down.reg,9701,PPP6R2,protein phosphatase 6 regulatory subunit 2
ENSG00000164889,-2.7808342892469,6.18090064351152,-6.12551170848564,3.04819157995402e-06,0.000670193243841354,4.67952864642372,down.reg,6522,SLC4A2,solute carrier family 4 member 2
ENSG00000184640,-2.45676872279142,8.28681229373472,-6.11679423221797,3.11204926494164e-06,0.000674311094928336,4.65653196680489,down.reg,10801,SEPTIN9,septin 9
ENSG00000177728,-2.78730364517686,6.04427187352943,-6.11280516630443,3.14172344411671e-06,0.000674311094928336,4.64809395185268,down.reg,9772,TMEM94,transmembrane protein 94
ENSG00000079999,-1.33440843917749,6.51928757542191,-6.1053584692598,3.19789277747019e-06,0.000678291869235413,4.63002855883044,down.reg,9817,KEAP1,kelch like ECH associated protein 1
ENSG00000149679,-2.0593290938493,5.09854937935459,-6.08077534153539,3.3906945856157e-06,0.000710823635861226,4.57762107366813,down.reg,81928,CABLES2,Cdk5 and Abl enzyme substrate 2
ENSG00000108840,-2.02797884003618,6.00149743042535,-6.07357719670173,3.4493614657068e-06,0.00071481078006009,4.56174012876712,down.reg,10014,HDAC5,histone deacetylase 5
ENSG00000165802,-2.13792337731829,5.40861027506693,-6.04362604608414,3.7047959829471e-06,0.000742457318735209,4.49431789312687,down.reg,26012,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor
ENSG00000155868,2.08235710257105,3.38661248225621,6.03474671936196,3.78416683706899e-06,0.000742457318735209,4.47422724739134,up.reg,9443,MED7,mediator complex subunit 7
ENSG00000154978,-1.25210593048675,5.53943359476994,-6.02600676002213,3.86398444491108e-06,0.000742457318735209,4.45256275545855,down.reg,81552,VOPP1,VOPP1 WW domain binding protein
ENSG00000132003,-1.91529636154627,4.0683796957462,-6.03100246728957,3.81815345625051e-06,0.000742457318735209,4.45217634846308,down.reg,65249,ZSWIM4,zinc finger SWIM-type containing 4
ENSG00000189050,1.98069516096022,2.33128736235219,6.03144960614439,3.81407847243493e-06,0.000742457318735209,4.44597967431595,up.reg,51136,RNFT1,"ring finger protein, transmembrane 1"
ENSG00000099364,-3.93460300916611,5.15000999988269,-6.04195763843132,3.71957910533159e-06,0.000742457318735209,4.44027921854521,down.reg,54620,FBXL19,F-box and leucine rich repeat protein 19
ENSG00000103855,-1.70668833785029,6.13526290037145,-6.02081355459419,3.91222171389677e-06,0.000742457318735209,4.43892542043286,down.reg,80381,CD276,CD276 molecule
